PrincipalComponent,ExplainedVarianceRatio
1,0.1486108823779337
2,0.07272193866952255
3,0.06265205549647442
4,0.054231675732338135
5,0.044868759502515586
6,0.03883232467298583
7,0.0267083231087442
8,0.025571990388520417
9,0.022652652503098947
10,0.021051083802198573
11,0.018304147515579784
12,0.017605832382206428
13,0.017141443552907556
14,0.016418445856144447
15,0.015890517160584944
16,0.01534289676369036
17,0.015025115919811535
18,0.014583982054208225
19,0.014251006683686585
20,0.013989543083092427
21,0.013413502774965905
22,0.013301801507989972
23,0.012957223384085201
24,0.012535851196459596
25,0.012073217892941976
26,0.010704931239267993
27,0.010224427818755205
28,0.009555587251191228
29,0.009154707239013338
30,0.008380949222274925
31,0.008201195440978075
32,0.007927063555065906
33,0.007896845107136695
34,0.007773609938296365
35,0.007543051253196578
36,0.0073933210723295265
37,0.007341837380740535
38,0.007246665546352325
39,0.007085434573927971
40,0.006691077639714771
41,0.006477617928082445
42,0.006139952700687871
43,0.005884300025667747
44,0.005325439774861191
45,0.005064541656039801
46,0.0048165392615327545
47,0.004617267960306798
48,0.004517325402957751
49,0.004415360648521837
50,0.004381190020425722
51,0.004292918888493917
52,0.004257805039298903
53,0.004204103040419088
54,0.004128488014348164
55,0.0040515345457152446
56,0.00396555765446993
57,0.0038275358884924944
58,0.0038033577819425158
59,0.0035647865230732387
60,0.0029903633590493044
61,0.0028233352602172737
62,0.002771024052668994
63,0.002523871189827667
64,0.0023981177590032604
65,0.0023401002807836918
66,0.0023187167849693046
67,0.0022822654144908534
68,0.002243214293633516
69,0.0022035659265117035
70,0.002166926588509091
71,0.0021528495771756554
72,0.0021271732014602764
73,0.0020947223841879556
74,0.002032890143145223
75,0.0019826606923706064
76,0.0018879970302432803
77,0.0014444927082946416
78,0.001190695419008062
79,0.0011086654207713607
80,0.001041328261635459
81,0.0008529357013348631
82,0.000802324316969265
83,0.0006943743142741463
84,0.0006747760477312184
85,0.0006569667946109129
86,0.0005486182367265013
87,4.3535695467404094e-05
88,5.184403886674851e-06
89,3.767711275849164e-06
90,1.3499797669698201e-11
